Name,Date,region,site,reef name,reef area,understory,Height (cm),Latitude,Longitude,Depth,Camera,Photographer,Water quality,Strobes,Framing gear used,White balance card,Comments
IMG_9813_patagonia.jpg,2021-03-26,Golfo San Jorge,Camarones,Camarones II,vertical,no,45,-44.79975547,-65.70102026,5.5,Canon EOS REBEL SL1,Gonzalo Bravo,good,two,25x25cm,yes,Costa Patagonica
IMG_9814_patagonia.jpg,2021-03-26,Golfo San Jorge,Camarones,Camarones II,horizontal,no,45,-44.79976634,-65.70102428,4.5,Canon EOS REBEL SL1,Gonzalo Bravo,good,two,25x25cm,yes,Costa Patagonica
IMG_9815_patagonia.jpg,2021-03-26,Golfo San Jorge,Camarones,Camarones II,horizontal,no,45,-44.79977237,-65.70102518,4.5,Canon EOS REBEL SL1,Gonzalo Bravo,good,two,25x25cm,yes,Costa Patagonica
IMG_9816_patagonia.jpg,2021-03-26,Golfo San Jorge,Camarones,Camarones II,horizontal,no,45,-44.79978226,-65.70101914,4.5,Canon EOS REBEL SL1,Gonzalo Bravo,good,two,25x25cm,yes,Costa Patagonica
IMG_9817_patagonia.jpg,2021-03-26,Golfo San Jorge,Camarones,Camarones II,horizontal,no,45,-44.79979215,-65.70100911,4.5,Canon EOS REBEL SL1,Gonzalo Bravo,good,two,25x25cm,yes,Costa Patagonica
IMG_9818_patagonia.jpg,2021-03-26,Golfo San Jorge,Camarones,Camarones II,horizontal,no,45,-44.79979978,-65.70099397,4.5,Canon EOS REBEL SL1,Gonzalo Bravo,good,two,25x25cm,yes,Costa Patagonica
IMG_9819_patagonia.jpg,2021-03-26,Golfo San Jorge,Camarones,Camarones II,horizontal,no,45,-44.79980978,-65.70096536,4.5,Canon EOS REBEL SL1,Gonzalo Bravo,good,two,25x25cm,yes,Costa Patagonica
IMG_9820_patagonia.jpg,2021-03-26,Golfo San Jorge,Camarones,Camarones II,vertical,no,45,-44.79986765,-65.70089428,5.5,Canon EOS REBEL SL1,Gonzalo Bravo,good,two,25x25cm,yes,Costa Patagonica
IMG_9821_patagonia.jpg,2021-03-26,Golfo San Jorge,Camarones,Camarones II,vertical,no,45,-44.79990355,-65.70093638,5.5,Canon EOS REBEL SL1,Gonzalo Bravo,good,two,25x25cm,yes,Costa Patagonica
IMG_9822_patagonia.jpg,2021-03-26,Golfo San Jorge,Camarones,Camarones II,vertical,no,45,-44.79992108,-65.70093402,5.5,Canon EOS REBEL SL1,Gonzalo Bravo,good,two,25x25cm,yes,Costa Patagonica
IMG_9823_patagonia.jpg,2021-03-26,Golfo San Jorge,Camarones,Camarones II,vertical,no,45,-44.79992869,-65.70092656,5.5,Canon EOS REBEL SL1,Gonzalo Bravo,good,two,25x25cm,yes,Costa Patagonica
IMG_9824_patagonia.jpg,2021-03-26,Golfo San Jorge,Camarones,Camarones II,vertical,no,45,-44.79996703,-65.70086265,5.5,Canon EOS REBEL SL1,Gonzalo Bravo,good,two,25x25cm,yes,Costa Patagonica
IMG_9825_patagonia.jpg,2021-03-26,Golfo San Jorge,Camarones,Camarones II,vertical,no,45,-44.79997454,-65.70083706,5.5,Canon EOS REBEL SL1,Gonzalo Bravo,good,two,25x25cm,yes,Costa Patagonica
IMG_9826_patagonia.jpg,2021-03-26,Golfo San Jorge,Camarones,Camarones II,vertical,no,45,-44.79997801,-65.70079914,5.5,Canon EOS REBEL SL1,Gonzalo Bravo,good,two,25x25cm,yes,Costa Patagonica
IMG_9827_patagonia.jpg,2021-03-26,Golfo San Jorge,Camarones,Camarones II,vertical,no,45,-44.79998277,-65.70077371,5.5,Canon EOS REBEL SL1,Gonzalo Bravo,good,two,25x25cm,yes,Costa Patagonica
IMG_9828_patagonia.jpg,2021-03-26,Golfo San Jorge,Camarones,Camarones II,horizontal,no,45,-44.79999228,-65.70074561,4.5,Canon EOS REBEL SL1,Gonzalo Bravo,good,two,25x25cm,yes,Costa Patagonica
IMG_9829_patagonia.jpg,2021-03-26,Golfo San Jorge,Camarones,Camarones II,horizontal,no,45,-44.79999907,-65.70072245,4.5,Canon EOS REBEL SL1,Gonzalo Bravo,good,two,25x25cm,yes,Costa Patagonica
IMG_9830_patagonia.jpg,2021-03-26,Golfo San Jorge,Camarones,Camarones II,vertical,no,45,-44.80002738,-65.70071091,5.5,Canon EOS REBEL SL1,Gonzalo Bravo,good,two,25x25cm,yes,Costa Patagonica
