ISO 8601 Time,Temperature (C)
2021-10-14T23:36:09.000,24.6566
2021-10-14T23:46:09.000,26.9964
2021-10-14T23:56:09.000,24.8679
2021-10-15T00:06:09.000,24.2181
2021-10-15T00:16:09.000,23.7433
2021-10-15T00:26:09.000,23.4642
2021-10-15T00:36:09.000,23.2945
2021-10-15T00:46:09.000,23.1910
2021-10-15T00:56:09.000,23.1207
2021-10-15T01:06:09.000,23.0710
2021-10-15T01:16:09.000,23.0366
2021-10-15T01:26:09.000,23.0145
2021-10-15T01:36:09.000,22.9993
2021-10-15T01:46:09.000,22.9911
2021-10-15T01:56:09.000,22.9883
2021-10-15T02:06:09.000,22.9883
2021-10-15T02:16:09.000,22.9897
2021-10-15T02:26:09.000,22.9966
2021-10-15T02:36:09.000,23.0076
2021-10-15T02:46:09.000,23.0173
2021-10-15T02:56:09.000,23.0269
2021-10-15T03:06:09.000,23.0393
2021-10-15T03:16:09.000,23.0462
2021-10-15T03:26:09.000,23.0531
2021-10-15T03:36:09.000,23.0641
2021-10-15T03:46:09.000,23.0696
2021-10-15T03:56:09.000,23.0752
2021-10-15T04:06:09.000,23.0820
2021-10-15T04:16:09.000,23.0903
2021-10-15T04:26:09.000,23.0958
2021-10-15T04:36:09.000,23.1013
2021-10-15T04:46:09.000,23.1082
2021-10-15T04:56:09.000,23.1124
2021-10-15T05:06:09.000,23.1151
2021-10-15T05:16:09.000,23.1193
2021-10-15T05:26:09.000,23.1248
2021-10-15T05:36:09.000,23.1275
2021-10-15T05:46:09.000,23.1275
2021-10-15T05:56:09.000,23.1275
2021-10-15T06:06:09.000,23.1234
2021-10-15T06:16:09.000,23.1193
2021-10-15T06:26:09.000,23.1165
2021-10-15T06:36:09.000,23.1096
2021-10-15T06:46:09.000,23.1055
2021-10-15T06:56:09.000,23.1027
2021-10-15T07:06:09.000,23.1027
2021-10-15T07:16:09.000,23.1041
2021-10-15T07:26:09.000,23.1096
2021-10-15T07:36:09.000,23.1179
2021-10-15T07:46:09.000,23.1248
2021-10-15T07:56:09.000,23.1427
2021-10-15T08:06:09.000,23.1675
2021-10-15T08:16:09.000,23.1924
2021-10-15T08:26:09.000,23.1703
2021-10-15T08:36:09.000,21.8729
2021-10-15T08:46:09.000,20.2450
2021-10-15T08:56:09.000,19.0675
2021-10-15T09:06:09.000,18.8214
2021-10-15T09:16:09.000,19.8510
2021-10-15T09:26:09.000,20.3189
2021-10-15T09:36:09.000,20.7186
2021-10-15T09:46:09.000,22.4473
2021-10-15T09:56:09.000,24.3623
2021-10-15T10:06:09.000,23.9162
2021-10-15T10:16:09.000,22.5312
2021-10-15T10:26:09.000,21.1775
2021-10-15T10:36:09.000,20.4065
2021-10-15T10:46:09.000,20.2833
2021-10-15T10:56:09.000,19.9851
2021-10-15T11:06:09.000,19.2247
2021-10-15T11:16:09.000,21.4023
2021-10-15T11:26:09.000,13.0632
2021-10-15T11:36:09.000,11.8374
2021-10-15T11:46:09.000,11.7362
2021-10-15T11:56:09.000,11.7305
2021-10-15T12:06:09.000,11.7249
2021-10-15T12:16:09.000,11.7305
2021-10-15T12:26:09.000,11.7249
2021-10-15T12:36:09.000,11.7193
2021-10-15T12:46:09.000,11.7235
2021-10-15T12:56:09.000,11.7080
2021-10-15T13:06:09.000,11.6419
2021-10-15T13:16:09.000,11.5348
