timestamp,Puerto Madryn Temperature [2 m elevation corrected],Puerto Pirámides Temperature [2 m elevation corrected],Puerto Madryn Growing Degree Days [2 m elevation corrected],Puerto Pirámides Growing Degree Days [2 m elevation corrected],Puerto Madryn Temperature [1000 mb],Puerto Pirámides Temperature [1000 mb],Puerto Madryn Temperature [850 mb],Puerto Pirámides Temperature [850 mb],Puerto Madryn Temperature [700 mb],Puerto Pirámides Temperature [700 mb],Puerto Madryn Sunshine Duration,Puerto Pirámides Sunshine Duration,Puerto Madryn Shortwave Radiation,Puerto Pirámides Shortwave Radiation,Puerto Madryn Direct Shortwave Radiation,Puerto Pirámides Direct Shortwave Radiation,Puerto Madryn Diffuse Shortwave Radiation,Puerto Pirámides Diffuse Shortwave Radiation
20181124T1600,21.842915,21.874569,0.49345478,0.49477372,19.21,19.14,6.89,6.31,-2.41,-1.95,60.0,60.0,830.37,825.92,546.96655,543.3795,283.40344,282.54047
20181124T1700,20.892914,21.994568,0.4538714,0.49977365,18.38,19.41,7.56,6.5,-2.27,-1.58,60.0,60.0,695.98,689.75,442.93616,438.1349,253.04381,251.61511
20181124T1800,19.832914,20.624569,0.40970477,0.44269037,17.85,18.4,7.97,7.03,-2.16,-1.3,60.0,60.0,531.33,521.54,323.45972,316.68436,207.8703,204.85562
20181124T1900,18.592915,18.614569,0.3580381,0.35894036,17.0,16.8,8.14,7.63,-2.09,-1.15,60.0,60.0,350.66,339.09,202.55722,195.25577,148.10278,143.83423
20181124T2000,17.512915,17.244568,0.3130381,0.301857,16.9,16.28,8.21,7.97,-2.3,-1.23,60.0,60.0,162.87,151.3,88.79001,82.18402,74.07999,69.11598
20181124T2100,15.582913,14.554569,0.23262139,0.18977372,16.67,15.06,8.19,8.36,-2.48,-1.47,35.716667,31.75,16.02,11.57,8.353897,6.021881,7.666104,5.5481186
20181124T2200,13.952913,12.714569,0.16470473,0.11310705,14.63,13.47,8.1,8.55,-2.64,-1.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20181124T2300,12.202913,11.464569,0.09178805,0.061023712,13.25,12.22,8.14,8.55,-2.87,-2.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20181125T0000,10.872913,10.884569,0.03637139,0.03685705,12.86,11.77,8.26,8.47,-2.95,-2.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20181125T0100,9.872913,10.54457,0.0,0.022690415,12.38,11.78,8.21,8.34,-2.85,-2.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20181125T0200,9.142914,10.40457,0.0,0.016857067,12.59,11.69,7.57,8.14,-2.19,-2.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20181125T0300,8.832913,9.754569,0.0,0.0,14.11,11.33,7.48,7.81,-1.86,-2.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20181125T0400,9.7129135,9.754569,0.0,0.0,12.32,11.91,7.21,7.55,-2.07,-1.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20181125T0500,9.562914,9.144569,0.0,0.0,11.7,12.15,6.9,7.31,-2.16,-1.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20181125T0600,8.822914,10.254569,0.0,0.010607044,10.4,12.38,6.42,6.84,-2.18,-2.05,22.033333,24.333334,3.56,5.34,2.9341545,3.089624,0.6258453,2.2503762
20181125T0700,11.292913,13.12457,0.053871393,0.13019042,10.2,12.03,6.03,6.43,-2.25,-2.14,60.0,60.0,117.479996,123.71,63.179295,66.70053,54.3007,57.009468
20181125T0800,13.612914,14.36457,0.15053809,0.18185706,11.48,12.23,5.86,6.08,-2.18,-2.28,60.0,60.0,302.6,310.61,172.56862,177.61209,130.03139,132.9979
20181125T0900,15.892914,15.70457,0.24553807,0.2376904,13.25,12.99,6.06,7.25,-2.54,-2.3,60.0,60.0,489.5,495.72998,294.64728,299.17148,194.85272,196.5585
20181125T1000,17.632915,16.71457,0.31803814,0.2797737,14.55,13.58,6.04,7.16,-2.33,-2.35,60.0,60.0,660.38,665.72,416.4224,420.76892,243.95761,244.95107
20181125T1100,19.232914,17.544569,0.38470474,0.31435704,15.89,14.06,6.12,7.04,-2.15,-2.33,60.0,60.0,803.67,808.12,525.81775,529.7516,277.8522,278.36838
20181125T1200,20.662914,18.374569,0.4442881,0.34894037,17.17,14.71,5.84,7.43,-1.96,-2.15,60.0,60.0,907.8,910.47,609.4929,612.1577,298.3071,298.31223
20181125T1300,21.872915,18.934568,0.4947048,0.37227368,18.37,15.16,5.79,8.04,-1.8,-1.92,60.0,60.0,966.54,965.64996,658.0106,657.95557,308.5294,307.69437
20181125T1400,22.762915,19.38457,0.5317881,0.39102373,19.52,15.8,5.86,8.49,-1.64,-1.79,60.0,60.0,975.44,970.99,665.0702,662.16156,310.3698,308.82843
20181125T1500,23.132915,19.97457,0.5472048,0.41560706,20.06,16.55,6.29,8.52,-1.48,-1.48,60.0,60.0,931.82996,923.82,628.4308,622.7185,303.3992,301.10153
20181125T1600,22.482914,20.56457,0.5201214,0.4401904,19.7,17.51,6.83,8.18,-1.26,-1.16,60.0,60.0,838.38,830.37,552.54694,546.6092,285.83307,283.7608
20181125T1700,19.752914,20.914568,0.40637144,0.45477366,16.84,18.19,7.31,7.68,-0.96,-0.88,60.0,60.0,702.20996,695.98,447.19727,442.38657,255.0127,253.59341
20181125T1800,16.792915,20.934568,0.28303814,0.45560703,14.28,18.67,7.68,7.55,-0.8,-0.75,60.0,60.0,534.89,528.66,325.8836,321.26202,209.0064,207.39795
20181125T1900,15.992913,20.294569,0.24970472,0.4289404,13.92,18.48,7.89,7.61,-0.95,-0.93,60.0,60.0,354.22,346.21,204.80246,199.54053,149.41754,146.66946
20181125T2000,14.172914,18.274569,0.1738714,0.34477368,12.77,17.32,7.95,7.47,-1.13,-1.13,60.0,60.0,166.43,156.64,90.82692,85.17524,75.60307,71.46476
20181125T2100,11.622913,14.964569,0.06762139,0.20685704,11.06,15.2,7.95,7.23,-1.29,-1.27,36.933334,32.966667,16.91,12.46,8.822974,6.4887767,8.087026,5.9712234
20181125T2200,10.482914,13.40457,0.020121416,0.14185707,11.16,13.59,7.95,7.12,-1.36,-1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20181125T2300,10.412913,12.314569,0.017204722,0.0964404,11.76,12.71,7.95,7.15,-1.43,-1.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20181126T0000,10.612914,11.314569,0.025538087,0.05477373,12.0,12.06,7.98,7.24,-1.47,-1.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20181126T0100,9.812914,10.2745695,0.0,0.011440396,11.52,11.56,8.0,7.34,-1.45,-1.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20181126T0200,8.552914,9.224569,0.0,0.0,11.06,11.32,8.02,7.47,-1.37,-1.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20181126T0300,7.842914,8.44457,0.0,0.0,11.32,11.38,8.04,7.66,-1.31,-1.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20181126T0400,7.442914,7.814569,0.0,0.0,11.45,11.38,8.07,7.82,-1.26,-1.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20181126T0500,7.052914,7.294569,0.0,0.0,11.62,11.31,8.13,7.99,-1.3,-1.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20181126T0600,6.712914,7.334569,0.0,0.0,12.15,11.1,8.08,8.03,-1.37,-1.59,22.683332,24.966667,4.45,5.34,2.6569486,3.1816652,1.7930512,2.158335
20181126T0700,9.152914,8.54457,0.0,0.0,12.9,10.91,7.86,7.98,-1.45,-1.69,60.0,60.0,118.369995,108.58,63.69133,58.57299,54.678665,50.00701
20181126T0800,14.442914,13.144569,0.18512142,0.13102372,13.41,11.2,7.76,7.99,-1.47,-1.71,60.0,60.0,302.6,307.05,172.64041,175.64781,129.9596,131.40218
20181126T0900,18.182915,17.914568,0.34095478,0.32977366,15.61,15.18,9.61,9.04,-2.01,-2.0,60.0,60.0,489.5,499.28998,294.74707,301.41962,194.75291,197.87038
20181126T1000,20.792915,20.014568,0.4497048,0.41727367,17.81,16.83,9.69,9.17,-1.67,-1.93,60.0,60.0,659.49,669.27997,415.98068,423.13794,243.50931,246.14203
20181126T1100,22.352915,21.524569,0.51470476,0.48019037,19.03,17.99,9.76,9.32,-1.36,-1.6,60.0,60.0,799.22,809.01,523.04584,530.4741,276.17413,278.5359
20181126T1200,23.252914,22.754568,0.5522048,0.5314403,19.85,19.05,9.89,9.48,-1.05,-1.44,60.0,60.0,898.89996,907.8,603.68335,610.5283,295.21664,297.27164
20181126T1300,24.002914,23.524569,0.5834548,0.5635237,20.39,19.64,10.02,9.59,-0.82,-1.37,60.0,60.0,954.97,959.42,650.3342,653.91113,304.6357,305.50885
20181126T1400,24.292915,23.774569,0.59553814,0.57394034,20.77,19.94,10.25,9.81,-0.56,-1.2,60.0,60.0,962.08997,962.98,656.2073,656.9386,305.8827,306.04138
20181126T1500,23.992914,23.664568,0.5830381,0.569357,20.48,19.9,10.59,10.12,-0.51,-0.98,60.0,60.0,917.58997,915.81,619.101,617.5929,298.48895,298.2171
20181126T1600,23.232914,23.364569,0.5513714,0.55685705,20.09,19.9,10.8,10.47,-0.46,-0.73,60.0,60.0,826.81,822.36,545.2149,541.629,281.5951,280.73096
20181126T1700,22.472914,22.784569,0.51970476,0.53269035,19.54,19.63,11.04,10.89,-0.5,-0.63,60.0,60.0,695.08997,687.97,442.95068,437.5808,252.1393,250.38914
20181126T1800,21.472914,21.734568,0.47803807,0.48894033,19.12,19.11,11.5,11.28,-0.42,-0.63,60.0,60.0,530.44,522.43,323.42242,317.72302,207.01758,204.70697
20181126T1900,20.062914,20.21457,0.41928807,0.42560706,18.18,18.07,11.59,11.59,-0.34,-0.58,58.085106,60.0,353.33,342.65,204.47252,197.66818,148.85747,144.98181
20181126T2000,17.922915,17.754568,0.33012143,0.323107,17.02,16.39,12.06,11.65,-0.36,-0.52,58.085106,60.0,172.66,156.64,94.32424,85.2637,78.33576,71.3763
20181126T2100,15.752913,14.87457,0.23970473,0.20310707,15.79,14.04,12.4,11.64,-0.45,-0.49,16.219858,5.8099284,21.36,13.349999,11.150909,6.956083,10.209091,6.3939166
20181126T2200,14.632914,13.764569,0.19303806,0.15685706,14.38,13.14,12.48,11.98,-0.62,-0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20181126T2300,14.042913,13.20457,0.16845472,0.13352375,13.27,13.04,12.52,12.12,-0.81,-0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20181127T0000,14.252913,13.11457,0.17720473,0.12977374,13.1,12.91,12.56,11.99,-1.08,-0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20181127T0100,14.522914,12.98457,0.18845475,0.12435707,13.4,12.92,12.4,11.88,-1.77,-0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20181127T0200,14.942914,12.61457,0.20595475,0.1089404,14.02,12.77,11.97,11.5,-1.59,-1.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20181127T0300,15.032914,12.894569,0.20970476,0.120607056,14.12,12.63,11.51,11.18,-1.47,-1.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20181127T0400,14.592914,12.434569,0.1913714,0.10144039,13.64,12.44,11.64,11.13,-1.72,-1.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20181127T0500,13.722914,11.65457,0.1551214,0.0689404,12.9,12.28,11.78,10.97,-1.66,-1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20181127T0600,12.692914,11.304569,0.11220475,0.05435705,12.14,12.33,11.51,10.74,-1.58,-1.7,12.569149,1.3528367,5.34,7.12,2.8381238,3.6936648,2.5018764,3.426335
20181127T0700,13.992913,13.91457,0.16637139,0.16310708,12.12,12.38,11.22,10.53,-1.24,-1.63,56.55319,14.680849,125.49,130.83,67.54646,70.60013,57.94353,60.229874
20181127T0800,15.682914,16.81457,0.23678808,0.2839404,13.27,14.39,10.9,10.34,-1.47,-1.69,56.170216,55.404255,303.49,310.61,173.1932,177.72905,130.29678,132.88094
20181127T0900,17.832914,19.81457,0.32637143,0.4089404,15.0,16.95,10.75,10.54,-1.98,-2.01,0.0,29.361702,434.32,482.38,261.5728,291.26685,172.7472,191.11317
20181127T1000,17.542915,20.404568,0.31428814,0.43352365,15.08,18.0,10.58,10.53,-2.34,-2.99,0.0,0.0,293.69998,414.74,96.593216,272.4595,197.10677,142.28049
20181127T1100,17.792915,23.174568,0.3247048,0.54894036,15.38,19.59,9.98,10.44,-2.26,-2.15,0.0,19.787235,284.8,616.77,33.78499,463.5665,251.015,153.20352
20181127T1200,20.672915,24.364569,0.44470477,0.5985237,17.32,20.58,10.52,10.42,-2.59,-2.23,0.0,37.02128,569.6,849.06,336.86874,584.0018,232.73123,265.05823
20181127T1300,18.532915,24.234568,0.35553813,0.593107,16.25,20.9,10.29,10.61,-1.99,-1.99,7.6595736,22.340425,376.47,847.27997,54.38611,616.23816,322.0839,231.0418
20181127T1400,19.942915,25.344568,0.41428813,0.63935703,17.48,21.51,10.3,10.48,-2.27,-1.97,21.702127,47.872337,317.72998,825.02997,9.04892,611.7965,308.68106,213.23349
20181127T1500,21.912914,25.594568,0.49637142,0.64977366,18.68,21.84,10.44,10.67,-2.29,-1.92,0.0,16.595745,382.69998,863.3,74.40344,594.616,308.29654,268.68396
20181127T1600,22.032915,25.044569,0.50137144,0.62685704,19.54,21.83,9.85,10.68,-2.13,-1.91,0.0,0.0,527.77,688.86,328.0896,496.18796,199.68042,192.67203
20181127T1700,20.832914,24.344568,0.45137143,0.59769034,18.94,21.23,9.96,10.29,-1.95,-1.79,0.0,0.0,257.21,566.04,43.487686,393.9143,213.7223,172.12569
20181127T1800,20.592915,22.944569,0.44137144,0.539357,18.89,20.2,9.8,9.82,-1.98,-1.53,0.0,0.0,156.64,428.09,12.007797,279.43073,144.6322,148.65929
20181127T1900,20.542915,21.004568,0.43928814,0.45852366,18.78,18.65,9.69,9.71,-1.66,-1.43,0.0,0.0,169.98999,273.22998,93.83938,161.93166,76.15061,111.298325
20181127T2000,18.942915,18.764568,0.37262145,0.36519036,17.89,16.93,9.74,9.82,-1.68,-1.84,0.0,0.0,105.02,115.7,61.002586,63.04235,44.01741,52.657646
20181127T2100,17.142914,16.55457,0.2976214,0.27310705,16.86,14.89,9.69,9.84,-1.82,-2.1,0.0,0.0,12.46,11.57,7.107887,6.0318217,5.3521132,5.538178
20181127T2200,16.372915,15.58457,0.26553813,0.23269041,15.8,13.93,9.72,9.79,-1.77,-2.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20181127T2300,15.572914,15.19457,0.23220475,0.2164404,14.46,13.63,9.66,9.41,-1.55,-1.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20181128T0000,14.702913,15.064569,0.19595473,0.21102373,13.58,13.81,9.17,8.97,-1.53,-1.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20181128T0100,14.072914,15.16457,0.16970475,0.21519041,13.48,14.96,8.98,8.88,-1.77,-2.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20181128T0200,14.142914,15.40457,0.17262141,0.2251904,13.92,15.58,8.69,8.74,-1.9,-2.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20181128T0300,14.312914,15.78457,0.17970474,0.24102373,14.01,17.47,8.97,8.57,-1.99,-1.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20181128T0400,14.512914,15.684569,0.18803807,0.23685706,14.83,16.67,9.03,8.65,-1.44,-1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20181128T0500,14.482914,15.08457,0.18678808,0.21185708,16.07,15.51,8.98,8.72,-1.02,-1.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20181128T0600,14.262914,15.36457,0.17762141,0.22352374,14.91,15.57,8.87,8.87,-0.88,-1.4,22.862944,0.0,4.45,7.12,2.7682877,3.6943777,1.681712,3.4256222
20181128T0700,15.162913,17.904568,0.21512139,0.329357,13.87,16.07,8.94,8.89,-1.1,-1.53,60.0,0.0,113.92,113.03,61.33973,61.014908,52.58027,52.01509
20181128T0800,17.432915,19.684568,0.30970478,0.40352368,15.24,17.38,9.21,8.91,-1.05,-1.52,60.0,0.0,291.03,276.79,166.12468,158.41626,124.90532,118.37375
20181128T0900,19.672915,19.434568,0.4030381,0.39310703,17.23,16.92,8.71,8.0,-0.89,-2.28,60.0,0.0,469.03,326.63,282.53284,262.97632,186.49716,63.653687
20181128T1000,22.112915,20.524569,0.5047048,0.43852368,19.39,17.8,9.03,8.22,-0.8,-2.16,60.0,0.0,632.79,461.91,399.27704,364.1453,233.51292,97.76472
20181128T1100,23.912914,21.774569,0.57970476,0.49060702,20.94,18.69,9.31,8.73,-0.53,-1.74,53.61702,0.0,770.74,496.62,504.58426,293.6574,266.15573,202.96257
20181128T1200,25.192915,23.334568,0.6330381,0.555607,22.23,20.01,9.21,9.28,-0.16,-1.08,53.61702,0.0,818.8,721.79,574.1156,547.8742,244.68439,173.91577
20181128T1300,25.982914,24.21457,0.66595477,0.5922737,22.9,20.68,9.42,9.54,0.23,-0.84,53.61702,60.0,868.64,884.66,620.8185,626.9897,247.82156,257.6703
20181128T1400,26.592915,24.684568,0.69137144,0.611857,23.75,21.33,9.94,10.18,0.66,-0.49,53.61702,59.61702,873.08997,934.5,626.16376,641.0659,246.92622,293.43408
20181128T1500,26.642914,25.014568,0.69345474,0.625607,23.79,21.8,11.17,10.4,0.89,0.07,30.0,56.744682,847.27997,878.43,593.3628,598.98584,253.91714,279.44415
20181128T1600,25.952915,25.354568,0.6647048,0.63977367,23.76,22.51,12.37,10.88,1.13,0.35,0.0,35.106384,717.33997,792.99,507.89066,522.82336,209.44931,270.1666
20181128T1700,25.532915,25.364569,0.6472048,0.64019036,23.47,23.03,13.11,11.42,1.19,0.56,0.0,0.0,551.8,618.55,394.44177,407.44183,157.3582,211.10815
20181128T1800,25.392914,25.364569,0.6413714,0.64019036,23.72,23.38,13.39,12.0,1.3,0.65,12.127658,14.680849,502.85,466.36,307.06036,287.61078,195.78966,178.74919
20181128T1900,24.222914,24.574568,0.5926214,0.60727364,23.01,23.05,13.68,12.51,1.51,0.71,0.0,60.0,314.16998,343.54,182.12982,198.53159,132.04016,145.00842
20181128T2000,22.892914,22.39457,0.53720474,0.5164404,22.14,21.43,13.87,12.79,1.73,0.79,0.0,37.02128,115.7,162.87,63.347107,88.83348,52.35289,74.036514
20181128T2100,21.012915,20.104568,0.45887145,0.4210237,20.67,19.45,14.12,13.09,1.75,0.99,1.2898935,0.0,18.69,19.58,9.767402,10.213134,8.922599,9.366866
20181128T2200,20.082914,19.21457,0.42012143,0.38394037,19.73,18.96,14.36,13.33,1.59,1.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20181128T2300,18.932915,18.81457,0.37220478,0.36727372,18.72,18.58,14.56,13.55,1.53,1.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20181129T0000,18.732914,18.274569,0.36387143,0.34477368,18.41,17.98,14.82,13.74,1.64,1.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20181129T0100,19.312914,17.874569,0.38803807,0.32810703,18.99,17.57,15.05,14.04,1.62,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20181129T0200,19.762915,17.734568,0.4067881,0.32227364,19.5,17.35,15.06,14.32,1.58,1.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20181129T0300,19.632915,17.534569,0.40137148,0.31394038,19.38,17.03,15.12,14.68,1.39,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20181129T0400,19.342915,17.124569,0.3892881,0.29685703,19.3,16.67,14.96,14.71,2.48,1.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20181129T0500,20.552916,16.664568,0.4397048,0.27769032,20.67,16.08,15.42,14.39,2.25,1.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20181129T0600,19.972914,16.264568,0.41553807,0.26102367,19.72,15.76,15.27,14.24,1.71,1.5,0.0,0.0,4.45,8.01,4.142109,4.156979,0.30789107,3.8530211
20181129T0700,20.402914,17.624569,0.43345475,0.31769037,19.55,16.7,13.87,14.27,1.7,2.0,27.446808,0.0,116.59,111.25,62.79885,60.07399,53.791145,51.17601
20181129T0800,21.282915,20.934568,0.47012147,0.45560703,19.7,19.49,13.0,13.93,1.52,1.56,33.19149,15.319151,287.47,303.49,164.13406,173.74005,123.33594,129.74994
20181129T0900,22.372915,18.944569,0.51553816,0.37269035,20.45,16.93,12.89,13.32,1.69,1.11,58.276596,58.468086,481.49,484.16,290.09534,292.4527,191.39464,191.7073
20181129T1000,23.772915,19.774569,0.57387143,0.40727368,21.45,17.52,12.03,13.42,1.91,1.52,58.468086,0.0,639.02,624.77997,403.27673,395.20148,235.74327,229.57848
20181129T1100,24.982914,20.71457,0.6242881,0.44644037,22.47,18.11,11.25,13.38,1.89,1.47,58.468086,27.446808,769.85,644.36,504.08856,473.84015,265.7614,170.51984
20181129T1200,26.122915,22.47457,0.67178816,0.5197737,23.59,19.92,10.78,13.51,1.67,1.65,58.851063,56.744682,864.19,861.51996,584.7129,587.8995,279.4771,273.62048
20181129T1300,26.932915,23.81457,0.7055381,0.57560706,24.44,21.24,10.52,13.63,1.61,1.7,59.04255,57.31915,899.79,914.02997,629.24695,634.6593,270.54303,279.37064
20181129T1400,27.222914,24.954569,0.7176214,0.623107,24.79,22.5,10.89,13.72,1.54,1.83,56.93617,60.0,923.82,928.26996,639.30804,640.7758,284.51196,287.49414
20181129T1500,25.472914,25.614569,0.64470476,0.65060705,22.61,23.32,11.62,13.72,1.56,1.66,55.595745,53.61702,886.44,881.99,603.1124,600.9084,283.3276,281.0816
20181129T1600,22.732914,26.024569,0.5305381,0.66769034,20.55,24.07,12.4,13.8,1.54,1.28,55.78723,53.61702,805.45,752.94,531.94403,515.21893,273.50598,237.72105
20181129T1700,22.492914,26.354568,0.5205381,0.68144035,20.43,24.63,12.94,13.77,1.02,1.28,55.595745,53.61702,682.63,635.45996,435.82706,412.0337,246.80295,223.42625
20181129T1800,22.702915,26.504568,0.5292881,0.6876903,21.33,25.15,13.47,14.05,1.17,1.38,49.787235,53.61702,527.77,488.61,322.51794,297.8271,205.25208,190.78291
20181129T1900,21.632915,25.864569,0.48470482,0.6610237,20.28,25.15,13.98,14.41,1.3,1.15,0.0,10.851063,359.56,302.6,208.6253,175.02606,150.9347,127.57395
20181129T2000,19.832914,23.984568,0.40970477,0.5826903,18.43,23.44,14.56,15.25,1.22,1.08,0.0,0.0,153.97,56.96,84.36661,27.702866,69.60339,29.257133
20181129T2100,18.932915,21.044569,0.37220478,0.4601904,17.03,20.5,14.34,15.5,0.79,1.03,0.0,0.0,18.69,7.12,9.772568,4.019557,8.917433,3.100443
20181129T2200,19.572914,20.234568,0.39887142,0.42644033,17.88,19.48,14.11,15.9,0.48,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20181129T2300,19.792915,20.274569,0.40803814,0.42810702,18.78,19.84,14.05,16.11,0.62,1.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20181130T0000,20.202915,19.334568,0.42512146,0.38894033,20.05,18.78,13.59,15.8,0.26,1.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20181130T0100,19.892914,17.704569,0.41220474,0.3210237,19.86,17.27,12.56,14.42,0.81,2.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20181130T0200,20.692915,16.81457,0.44553813,0.2839404,20.58,16.28,12.1,13.49,0.92,1.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20181130T0300,19.672915,16.574568,0.4030381,0.27394032,19.55,16.16,10.85,12.61,0.4,1.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20181130T0400,19.032915,17.47457,0.37637147,0.31144038,18.88,17.36,9.1,11.49,-0.04,1.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20181130T0500,18.612915,16.094568,0.35887146,0.25394034,18.49,15.99,7.17,9.93,-0.94,1.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20181130T0600,18.682915,16.874569,0.36178812,0.28644037,18.39,16.56,6.26,8.6,-0.69,0.28,0.0,9.117731,3.56,3.56,2.2533524,1.6966116,1.3066475,1.8633883
20181130T0700,18.602915,17.844568,0.3584548,0.326857,17.75,17.18,6.0,7.05,-0.89,-0.43,0.0,21.063831,80.99,135.28,43.638565,73.07428,37.351433,62.20572
20181130T0800,18.462915,18.904568,0.35262147,0.37102365,16.98,17.7,5.33,6.15,-1.37,-0.94,0.0,0.0,266.11,292.81,151.97673,167.66699,114.133255,125.143005
20181130T0900,15.822914,16.584568,0.24262142,0.274357,13.76,14.67,4.87,5.74,-2.19,-1.1,60.0,60.0,497.50998,495.72998,299.80588,299.498,197.7041,196.232
20181130T1000,16.382915,16.544569,0.26595482,0.2726904,13.88,14.19,3.62,5.12,-2.66,-1.65,60.0,60.0,671.95,671.06,424.1301,424.54532,247.81992,246.51468
20181130T1100,17.292915,17.004568,0.30387148,0.291857,14.43,14.26,2.17,3.88,-3.49,-1.79,60.0,60.0,817.01996,819.69,535.0662,537.843,281.95374,281.84695
20181130T1200,18.232914,17.674568,0.34303808,0.31977367,15.07,14.7,1.4,2.49,-4.6,-2.85,60.0,60.0,920.26,923.82,618.5255,621.7974,301.73453,302.02258
20181130T1300,18.712915,18.024569,0.36303815,0.33435702,15.38,14.82,1.35,1.24,-5.53,-3.35,58.723404,60.0,975.44,977.22,664.94104,666.70996,310.499,310.50998
20181130T1400,18.622915,15.98457,0.35928813,0.24935706,15.3,12.59,1.4,0.74,-8.26,-3.23,53.61702,60.0,971.88,976.32996,663.7344,666.90137,308.14566,309.4286
20181130T1500,17.292915,15.08457,0.30387148,0.21185708,13.83,11.64,0.22,0.65,-10.19,-4.64,53.61702,59.361702,817.01996,914.92,587.6993,618.0028,229.3207,296.91718
20181130T1600,15.542913,14.2745695,0.23095472,0.17810707,12.16,11.0,-0.67,0.07,-10.58,-7.96,53.61702,53.61702,724.45996,803.67,512.16376,530.4045,212.29619,273.2655
20181130T1700,14.922914,13.53457,0.2051214,0.14727373,11.74,10.42,-1.02,-0.68,-10.79,-9.65,53.61702,43.404255,586.51,517.98,406.70374,382.3648,179.80629,135.61519
20181130T1800,13.932914,12.844569,0.16387141,0.11852372,11.02,10.15,-1.21,-0.65,-11.18,-10.13,52.97872,53.61702,535.77997,521.54,327.65607,318.1369,208.1239,203.40309
20181130T1900,13.152914,11.73457,0.13137142,0.07227373,10.64,9.56,-1.09,-0.97,-11.35,-10.43,60.0,7.021276,366.68,221.61,212.9418,192.2378,153.73819,29.37221
20181130T2000,11.642914,11.04457,0.06845474,0.043523747,9.82,8.94,-0.94,-0.75,-11.4,-10.62,60.0,0.0,179.78,136.17,98.60709,74.41957,81.172905,61.75043
20181130T2100,10.312914,10.16457,0.013038079,0.006857077,9.22,8.84,-1.21,-0.87,-11.15,-10.57,42.733334,34.597874,24.92,15.13,13.036967,7.900348,11.883033,7.229652
20181130T2200,9.672914,10.15457,0.0,0.006440401,9.04,8.98,-0.96,-0.86,-11.0,-10.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
