timestamp,Puerto Madryn Temperature [2 m elevation corrected],Puerto Pirámides Temperature [2 m elevation corrected],Puerto Madryn Growing Degree Days [2 m elevation corrected],Puerto Pirámides Growing Degree Days [2 m elevation corrected],Puerto Madryn Temperature [1000 mb],Puerto Pirámides Temperature [1000 mb],Puerto Madryn Temperature [850 mb],Puerto Pirámides Temperature [850 mb],Puerto Madryn Temperature [700 mb],Puerto Pirámides Temperature [700 mb],Puerto Madryn Sunshine Duration,Puerto Pirámides Sunshine Duration,Puerto Madryn Shortwave Radiation,Puerto Pirámides Shortwave Radiation,Puerto Madryn Direct Shortwave Radiation,Puerto Pirámides Direct Shortwave Radiation,Puerto Madryn Diffuse Shortwave Radiation,Puerto Pirámides Diffuse Shortwave Radiation
20180801T2100,5.862914,7.464569,0.0,0.0,9.51,9.03,0.38,0.0,-7.85,-7.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180801T2200,4.572914,6.854569,0.0,0.0,9.44,9.11,0.69,0.09,-7.89,-7.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180801T2300,3.7629142,6.354569,0.0,0.0,9.35,9.11,0.85,0.21,-7.82,-7.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180802T0000,3.0729141,6.074569,0.0,0.0,9.2,9.1,0.88,0.27,-7.61,-7.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180802T0100,2.3029141,5.904569,0.0,0.0,9.01,9.02,0.75,0.27,-7.25,-7.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180802T0200,1.4829142,5.684569,0.0,0.0,8.81,8.81,0.55,0.16,-6.76,-7.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180802T0300,0.99291414,5.654569,0.0,0.0,8.77,8.66,0.53,0.06,-6.24,-6.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180802T0400,0.87291414,5.514569,0.0,0.0,8.76,8.68,0.57,-0.03,-5.97,-6.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180802T0500,1.2029141,5.074569,0.0,0.0,8.82,8.71,0.61,-0.08,-5.94,-6.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180802T0600,0.99291414,5.134569,0.0,0.0,7.99,8.65,1.02,0.03,-5.99,-6.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180802T0700,-0.3970859,5.254569,0.0,0.0,5.53,8.44,1.5,0.25,-5.96,-6.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180802T0800,-1.4270859,5.384569,0.0,0.0,5.93,8.19,1.31,0.5,-5.69,-6.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180802T0900,-0.18708587,6.254569,0.0,0.0,9.49,8.8,1.56,1.25,-5.74,-5.99,31.65,35.4,9.79,13.349999,5.096462,6.9632983,4.693538,6.386701
20180802T1000,3.622914,8.78457,0.0,0.0,8.29,8.55,1.5,1.26,-5.74,-5.93,60.0,60.0,132.61,143.29,71.83681,77.90262,60.77319,65.387375
20180802T1100,8.372913,10.854569,0.0,0.03560706,7.66,9.01,1.71,1.49,-5.6,-5.83,60.0,60.0,275.9,283.91,156.62604,161.67935,119.273964,122.230644
20180802T1200,11.282914,11.674569,0.053454757,0.06977371,9.34,9.43,2.27,1.82,-5.44,-5.72,60.0,60.0,386.25998,393.38,226.91077,231.68378,159.34921,161.69623
20180802T1300,12.622913,11.87457,0.10928806,0.07810708,10.44,9.38,2.76,2.25,-5.33,-5.65,60.0,60.0,456.57,461.02,273.7881,276.9771,182.7819,184.0429
20180802T1400,13.022914,11.7745695,0.12595475,0.0739404,10.85,9.31,3.11,2.6,-5.37,-5.6,60.0,60.0,478.82,481.49,288.95847,290.90353,189.86154,190.58646
20180802T1500,12.922914,11.58457,0.12178806,0.066023745,10.94,9.29,3.57,2.79,-5.24,-5.47,60.0,60.0,453.00998,453.00998,271.19382,271.29486,181.81616,181.71512
20180802T1600,12.502913,11.19457,0.104288064,0.049773734,10.91,9.3,3.94,3.01,-5.03,-5.26,60.0,60.0,380.03,376.47,222.50667,220.32837,157.52333,156.14163
20180802T1700,11.842914,10.724569,0.07678807,0.030190388,10.7,9.37,4.27,3.23,-5.02,-5.1,60.0,60.0,264.33,258.99,149.3264,146.1304,115.003586,112.85959
20180802T1800,10.392914,9.83457,0.016371408,0.0,9.99,9.4,4.58,3.46,-5.26,-5.07,60.0,60.0,118.369995,112.14,63.722248,60.247875,54.647747,51.892124
20180802T1900,8.872913,9.014569,0.0,0.0,8.82,9.27,4.79,3.75,-5.53,-5.2,24.6,22.083334,6.23,4.45,3.231874,2.6070628,2.998126,1.8429369
20180802T2000,8.392914,8.934569,0.0,0.0,8.46,9.3,5.01,4.0,-5.49,-5.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180802T2100,8.402914,9.054569,0.0,0.0,8.58,9.39,5.31,4.24,-5.51,-5.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180802T2200,8.332913,9.33457,0.0,0.0,8.53,9.56,5.28,4.73,-5.6,-5.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180802T2300,8.092914,9.28457,0.0,0.0,8.28,9.47,4.89,4.81,-5.73,-5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180803T0000,7.6229143,9.254569,0.0,0.0,7.81,9.37,4.84,3.78,-5.79,-5.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180803T0100,7.0829144,9.254569,0.0,0.0,7.26,9.38,5.16,3.12,-5.91,-5.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180803T0200,6.9329143,9.064569,0.0,0.0,6.92,9.15,5.14,2.95,-6.03,-5.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180803T0300,6.692914,9.264569,0.0,0.0,6.59,9.24,4.52,3.18,-6.45,-5.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180803T0400,6.982914,9.384569,0.0,0.0,6.73,9.24,4.36,3.81,-7.77,-6.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180803T0500,7.092914,9.36457,0.0,0.0,6.85,9.12,2.79,4.52,-8.01,-6.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180803T0600,7.282914,9.20457,0.0,0.0,7.03,8.94,2.37,3.79,-8.24,-7.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180803T0700,7.822914,9.12457,0.0,0.0,7.53,8.76,3.08,1.8,-9.11,-8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180803T0800,7.262914,9.07457,0.0,0.0,7.41,8.62,1.8,0.4,-8.56,-8.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180803T0900,7.512914,9.764569,0.0,0.0,7.24,9.3,4.28,4.14,-6.75,-6.25,0.0,0.0,9.79,11.57,5.205917,6.306958,4.584083,5.2630415
20180803T1000,9.972914,10.714569,0.0,0.029773712,9.18,9.73,2.67,4.31,-7.32,-6.87,58.723404,0.0,130.83,119.259995,70.95569,64.913956,59.87431,54.34604
20180803T1100,11.612914,11.594569,0.06720475,0.06644038,10.38,10.18,1.92,3.38,-7.67,-7.15,60.0,53.61702,275.9,272.34,156.8107,155.27264,119.0893,117.067345
20180803T1200,13.052914,12.514569,0.12720473,0.10477372,11.4,10.8,1.43,1.97,-8.01,-7.56,60.0,60.0,382.69998,390.71,225.08455,230.38145,157.61543,160.32854
20180803T1300,13.862914,13.41457,0.16095476,0.14227374,12.01,11.5,1.11,1.63,-7.84,-7.85,60.0,60.0,452.12,456.57,271.43787,274.62415,180.68213,181.94585
20180803T1400,14.252913,13.69457,0.17720473,0.1539404,12.3,11.71,0.91,1.22,-7.94,-7.87,60.0,60.0,477.03998,477.03998,288.21927,288.5488,188.82071,188.49118
20180803T1500,14.4629135,13.91457,0.18595473,0.16310708,12.57,12.0,0.57,1.43,-8.1,-7.84,60.0,60.0,452.12,449.44998,270.97208,269.47067,181.14792,179.97931
20180803T1600,14.4629135,13.854569,0.18595473,0.16060705,12.86,12.21,0.14,1.13,-8.07,-8.17,60.0,60.0,380.91998,375.58,223.27992,220.05467,157.64006,155.52531
20180803T1700,14.102914,13.48457,0.17095475,0.1451904,12.92,12.27,-0.17,0.75,-8.09,-8.39,59.808514,60.0,267.0,260.77,151.00195,147.29688,115.99804,113.473114
20180803T1800,12.742913,11.554569,0.114288054,0.064773716,12.56,12.14,-0.16,-0.06,-7.97,-8.28,59.425533,60.0,131.72,114.81,70.9858,61.748753,60.7342,53.061245
20180803T1900,9.742913,10.394569,0.0,0.016440392,11.82,12.18,-0.3,-0.15,-7.58,-8.07,13.344681,23.083334,8.01,5.34,4.1575313,2.8912542,3.852469,2.448746
