Date.Hour,Datetime,month,year,hour,Date.Hour Windows format,Temp. ,SITE
04/04/2019 10:01:00 p.m.,04/04/2019,4,2019,10:01:00 p.m,43559.91736,16.2354758,Alero20m
05/04/2019 12:01:00 a.m.,05/04/2019,4,2019,12:01:00 a.m,43560.00069,16.2354758,Alero20m
05/04/2019 02:01:00 a.m.,05/04/2019,4,2019,02:01:00 a.m,43560.08403,16.36121465,Alero20m
05/04/2019 04:01:00 a.m.,05/04/2019,4,2019,04:01:00 a.m,43560.16736,16.36121465,Alero20m
05/04/2019 06:01:00 a.m.,05/04/2019,4,2019,06:01:00 a.m,43560.25069,16.48695191,Alero20m
05/04/2019 08:01:00 a.m.,05/04/2019,4,2019,08:01:00 a.m,43560.33403,16.48695191,Alero20m
05/04/2019 10:01:00 a.m.,05/04/2019,4,2019,10:01:00 a.m,43560.41736,16.48695191,Alero20m
05/04/2019 12:01:00 p.m.,05/04/2019,4,2019,12:01:00 p.m,43560.50069,16.48695191,Alero20m
05/04/2019 02:01:00 p.m.,05/04/2019,4,2019,02:01:00 p.m,43560.58403,16.48695191,Alero20m
05/04/2019 04:01:00 p.m.,05/04/2019,4,2019,04:01:00 p.m,43560.66736,16.48695191,Alero20m
05/04/2019 06:01:00 p.m.,05/04/2019,4,2019,06:01:00 p.m,43560.75069,16.36121465,Alero20m
05/04/2019 08:01:00 p.m.,05/04/2019,4,2019,08:01:00 p.m,43560.83403,16.36121465,Alero20m
05/04/2019 10:01:00 p.m.,05/04/2019,4,2019,10:01:00 p.m,43560.91736,16.48695191,Alero20m
06/04/2019 12:01:00 a.m.,06/04/2019,4,2019,12:01:00 a.m,43561.00069,16.48695191,Alero20m
06/04/2019 02:01:00 a.m.,06/04/2019,4,2019,02:01:00 a.m,43561.08403,16.36121465,Alero20m
06/04/2019 04:01:00 a.m.,06/04/2019,4,2019,04:01:00 a.m,43561.16736,16.36121465,Alero20m
06/04/2019 06:01:00 a.m.,06/04/2019,4,2019,06:01:00 a.m,43561.25069,16.36121465,Alero20m
06/04/2019 08:01:00 a.m.,06/04/2019,4,2019,08:01:00 a.m,43561.33403,16.36121465,Alero20m
06/04/2019 10:01:00 a.m.,06/04/2019,4,2019,10:01:00 a.m,43561.41736,16.36121465,Alero20m
06/04/2019 12:01:00 p.m.,06/04/2019,4,2019,12:01:00 p.m,43561.50069,16.36121465,Alero20m
06/04/2019 02:01:00 p.m.,06/04/2019,4,2019,02:01:00 p.m,43561.58403,16.36121465,Alero20m
06/04/2019 04:01:00 p.m.,06/04/2019,4,2019,04:01:00 p.m,43561.66736,16.36121465,Alero20m
06/04/2019 06:01:00 p.m.,06/04/2019,4,2019,06:01:00 p.m,43561.75069,16.36121465,Alero20m
06/04/2019 08:01:00 p.m.,06/04/2019,4,2019,08:01:00 p.m,43561.83403,16.36121465,Alero20m
06/04/2019 10:01:00 p.m.,06/04/2019,4,2019,10:01:00 p.m,43561.91736,16.36121465,Alero20m
07/04/2019 12:01:00 a.m.,07/04/2019,4,2019,12:01:00 a.m,43562.00069,16.36121465,Alero20m
07/04/2019 02:01:00 a.m.,07/04/2019,4,2019,02:01:00 a.m,43562.08403,16.48695191,Alero20m
07/04/2019 04:01:00 a.m.,07/04/2019,4,2019,04:01:00 a.m,43562.16736,16.36121465,Alero20m
