ISO 8601 Time,Temperature (C)
2021-08-09T06:22:17.000,11.5348
2021-08-09T06:32:17.000,11.5320
2021-08-09T06:42:17.000,11.5278
2021-08-09T06:52:17.000,11.5222
2021-08-09T07:02:17.000,11.5179
2021-08-09T07:12:17.000,11.5137
2021-08-09T07:22:17.000,11.5081
2021-08-09T07:32:17.000,11.5024
2021-08-09T07:42:17.000,11.5010
2021-08-09T07:52:17.000,11.4996
2021-08-09T08:02:17.000,11.4996
2021-08-09T08:12:17.000,11.5109
2021-08-09T08:22:17.000,11.5179
2021-08-09T08:32:17.000,11.5165
2021-08-09T08:42:17.000,11.5151
2021-08-09T08:52:17.000,11.5151
2021-08-09T09:02:17.000,11.5179
2021-08-09T09:12:17.000,11.5264
2021-08-09T09:22:17.000,11.5391
2021-08-09T09:32:17.000,11.5447
2021-08-09T09:42:17.000,11.5517
2021-08-09T09:52:17.000,11.5560
2021-08-09T10:02:17.000,11.5616
2021-08-09T10:12:17.000,11.5644
2021-08-09T10:22:17.000,11.5701
2021-08-09T10:32:17.000,11.5743
2021-08-09T10:42:17.000,11.5743
2021-08-09T10:52:17.000,11.5771
2021-08-09T11:02:17.000,11.5827
2021-08-09T11:12:17.000,11.5827
2021-08-09T11:22:17.000,11.5827
2021-08-09T11:32:17.000,11.5841
2021-08-09T11:42:17.000,11.5884
2021-08-09T11:52:17.000,11.5898
2021-08-09T12:02:17.000,11.5912
2021-08-09T12:12:17.000,11.5954
2021-08-09T12:22:17.000,11.5884
2021-08-09T12:32:17.000,11.5785
2021-08-09T12:42:17.000,11.5588
2021-08-09T12:52:17.000,11.5532
2021-08-09T13:02:17.000,11.5574
2021-08-09T13:12:17.000,11.5715
2021-08-09T13:22:17.000,11.5743
2021-08-09T13:32:17.000,11.5785
2021-08-09T13:42:17.000,11.5968
2021-08-09T13:52:17.000,11.6137
2021-08-09T14:02:17.000,11.6278
2021-08-09T14:12:17.000,11.6348
2021-08-09T14:22:17.000,11.6376
2021-08-09T14:32:17.000,11.6376
2021-08-09T14:42:17.000,11.6334
2021-08-09T14:52:17.000,11.6376
2021-08-09T15:02:17.000,11.6461
2021-08-09T15:12:17.000,11.6475
2021-08-09T15:22:17.000,11.6517
2021-08-09T15:32:17.000,11.6531
2021-08-09T15:42:17.000,11.6531
2021-08-09T15:52:17.000,11.6517
2021-08-09T16:02:17.000,11.6489
2021-08-09T16:12:17.000,11.6559
2021-08-09T16:22:17.000,11.6545
2021-08-09T16:32:17.000,11.6559
2021-08-09T16:42:17.000,11.6559
2021-08-09T16:52:17.000,11.6574
2021-08-09T17:02:17.000,11.6559
2021-08-09T17:12:17.000,11.6531
2021-08-09T17:22:17.000,11.6531
2021-08-09T17:32:17.000,11.6475
2021-08-09T17:42:17.000,11.6461
2021-08-09T17:52:17.000,11.6475
2021-08-09T18:02:17.000,11.6208
2021-08-09T18:12:17.000,11.6109
2021-08-09T18:22:17.000,11.6109
2021-08-09T18:32:17.000,11.6095
2021-08-09T18:42:17.000,11.6109
2021-08-09T18:52:17.000,11.6123
2021-08-09T19:02:17.000,11.6109
2021-08-09T19:12:17.000,11.5855
2021-08-09T19:22:17.000,11.5602
2021-08-09T19:32:17.000,11.5616
2021-08-09T19:42:17.000,11.5743
2021-08-09T19:52:17.000,11.6024
2021-08-09T20:02:17.000,11.6264
2021-08-09T20:12:17.000,11.6306
2021-08-09T20:22:17.000,11.6292
2021-08-09T20:32:17.000,11.6292
2021-08-09T20:42:17.000,11.6348
2021-08-09T20:52:17.000,11.6362
2021-08-09T21:02:17.000,11.6362
2021-08-09T21:12:17.000,11.6362
2021-08-09T21:22:17.000,11.6348
2021-08-09T21:32:17.000,11.6348
2021-08-09T21:42:17.000,11.6348
2021-08-09T21:52:17.000,11.6362
2021-08-09T22:02:17.000,11.6348
2021-08-09T22:12:17.000,11.6334
2021-08-09T22:22:17.000,11.6334
2021-08-09T22:32:17.000,11.6334
2021-08-09T22:42:17.000,11.6320
2021-08-09T22:52:17.000,11.6306
2021-08-09T23:02:17.000,11.6320
2021-08-09T23:12:17.000,11.6292
2021-08-09T23:22:17.000,11.6292
2021-08-09T23:32:17.000,11.6292
2021-08-09T23:42:17.000,11.6292
2021-08-09T23:52:17.000,11.6292
2021-08-10T00:02:17.000,11.6278
2021-08-10T00:12:17.000,11.6292
2021-08-10T00:22:17.000,11.6278
2021-08-10T00:32:17.000,11.6208
2021-08-10T00:42:17.000,11.6208
2021-08-10T00:52:17.000,11.6165
2021-08-10T01:02:17.000,11.6151
2021-08-10T01:12:17.000,11.6123
2021-08-10T01:22:17.000,11.6137
2021-08-10T01:32:17.000,11.6165
2021-08-10T01:42:17.000,11.6109
2021-08-10T01:52:17.000,11.6137
2021-08-10T02:02:17.000,11.6137
2021-08-10T02:12:17.000,11.6123
2021-08-10T02:22:17.000,11.6165
2021-08-10T02:32:17.000,11.6095
2021-08-10T02:42:17.000,11.6081
2021-08-10T02:52:17.000,11.6039
2021-08-10T03:02:17.000,11.6024
2021-08-10T03:12:17.000,11.5926
2021-08-10T03:22:17.000,11.5912
2021-08-10T03:32:17.000,11.5982
2021-08-10T03:42:17.000,11.5954
2021-08-10T03:52:17.000,11.5940
2021-08-10T04:02:17.000,11.5870
2021-08-10T04:12:17.000,11.5799
2021-08-10T04:22:17.000,11.5715
2021-08-10T04:32:17.000,11.5743
2021-08-10T04:42:17.000,11.5715
2021-08-10T04:52:17.000,11.5658
2021-08-10T05:02:17.000,11.5672
2021-08-10T05:12:17.000,11.5785
2021-08-10T05:22:17.000,11.5799
2021-08-10T05:32:17.000,11.5799
2021-08-10T05:42:17.000,11.5757
2021-08-10T05:52:17.000,11.5743
2021-08-10T06:02:17.000,11.5729
2021-08-10T06:12:17.000,11.5715
2021-08-10T06:22:17.000,11.5771
2021-08-10T06:32:17.000,11.5743
2021-08-10T06:42:17.000,11.5743
2021-08-10T06:52:17.000,11.5757
2021-08-10T07:02:17.000,11.5757
2021-08-10T07:12:17.000,11.5729
2021-08-10T07:22:17.000,11.5715
2021-08-10T07:32:17.000,11.5715
2021-08-10T07:42:17.000,11.5672
2021-08-10T07:52:17.000,11.5630
2021-08-10T08:02:17.000,11.5560
2021-08-10T08:12:17.000,11.5574
2021-08-10T08:22:17.000,11.5489
2021-08-10T08:32:17.000,11.5419
2021-08-10T08:42:17.000,11.5264
2021-08-10T08:52:17.000,11.5024
2021-08-10T09:02:17.000,11.4926
2021-08-10T09:12:17.000,11.5010
2021-08-10T09:22:17.000,11.5081
2021-08-10T09:32:17.000,11.5193
2021-08-10T09:42:17.000,11.5362
2021-08-10T09:52:17.000,11.5503
2021-08-10T10:02:17.000,11.5574
2021-08-10T10:12:17.000,11.5630
2021-08-10T10:22:17.000,11.5686
2021-08-10T10:32:17.000,11.5701
2021-08-10T10:42:17.000,11.5729
2021-08-10T10:52:17.000,11.5743
2021-08-10T11:02:17.000,11.5771
2021-08-10T11:12:17.000,11.5771
2021-08-10T11:22:17.000,11.5785
2021-08-10T11:32:17.000,11.5841
2021-08-10T11:42:17.000,11.5855
2021-08-10T11:52:17.000,11.5898
2021-08-10T12:02:17.000,11.5954
2021-08-10T12:12:17.000,11.5940
2021-08-10T12:22:17.000,11.5968
2021-08-10T12:32:17.000,11.5982
2021-08-10T12:42:17.000,11.6024
2021-08-10T12:52:17.000,11.6039
2021-08-10T13:02:17.000,11.6053
2021-08-10T13:12:17.000,11.6095
2021-08-10T13:22:17.000,11.6081
2021-08-10T13:32:17.000,11.6095
2021-08-10T13:42:17.000,11.6109
2021-08-10T13:52:17.000,11.6123
2021-08-10T14:02:17.000,11.6151
2021-08-10T14:12:17.000,11.6165
2021-08-10T14:22:17.000,11.6208
2021-08-10T14:32:17.000,11.6193
2021-08-10T14:42:17.000,11.6222
2021-08-10T14:52:17.000,11.6278
2021-08-10T15:02:17.000,11.6264
2021-08-10T15:12:17.000,11.6264
2021-08-10T15:22:17.000,11.6264
2021-08-10T15:32:17.000,11.6306
2021-08-10T15:42:17.000,11.6306
2021-08-10T15:52:17.000,11.6306
2021-08-10T16:02:17.000,11.6320
2021-08-10T16:12:17.000,11.6278
2021-08-10T16:22:17.000,11.6278
2021-08-10T16:32:17.000,11.6264
2021-08-10T16:42:17.000,11.6250
2021-08-10T16:52:17.000,11.6236
2021-08-10T17:02:17.000,11.6208
2021-08-10T17:12:17.000,11.6193
2021-08-10T17:22:17.000,11.6137
2021-08-10T17:32:17.000,11.6109
2021-08-10T17:42:17.000,11.6081
2021-08-10T17:52:17.000,11.6039
2021-08-10T18:02:17.000,11.6010
2021-08-10T18:12:17.000,11.5954
2021-08-10T18:22:17.000,11.5898
2021-08-10T18:32:17.000,11.5813
2021-08-10T18:42:17.000,11.5771
2021-08-10T18:52:17.000,11.5785
2021-08-10T19:02:17.000,11.5771
2021-08-10T19:12:17.000,11.5757
2021-08-10T19:22:17.000,11.5757
2021-08-10T19:32:17.000,11.5743
2021-08-10T19:42:17.000,11.5686
2021-08-10T19:52:17.000,11.5658
2021-08-10T20:02:17.000,11.5630
2021-08-10T20:12:17.000,11.5602
2021-08-10T20:22:17.000,11.5602
2021-08-10T20:32:17.000,11.5630
2021-08-10T20:42:17.000,11.5546
2021-08-10T20:52:17.000,11.5503
2021-08-10T21:02:17.000,11.5433
2021-08-10T21:12:17.000,11.5433
2021-08-10T21:22:17.000,11.5348
2021-08-10T21:32:17.000,11.5292
2021-08-10T21:42:17.000,11.5278
2021-08-10T21:52:17.000,11.5292
2021-08-10T22:02:17.000,11.5362
2021-08-10T22:12:17.000,11.5405
2021-08-10T22:22:17.000,11.5348
2021-08-10T22:32:17.000,11.5292
2021-08-10T22:42:17.000,11.5419
2021-08-10T22:52:17.000,11.5447
2021-08-10T23:02:17.000,11.5433
2021-08-10T23:12:17.000,11.5362
2021-08-10T23:22:17.000,11.5348
2021-08-10T23:32:17.000,11.5278
2021-08-10T23:42:17.000,11.5250
2021-08-10T23:52:17.000,11.5222
2021-08-11T00:02:17.000,11.5250
2021-08-11T00:12:17.000,11.5264
2021-08-11T00:22:17.000,11.5320
2021-08-11T00:32:17.000,11.5405
2021-08-11T00:42:17.000,11.5405
2021-08-11T00:52:17.000,11.5348
2021-08-11T01:02:17.000,11.5362
2021-08-11T01:12:17.000,11.5348
2021-08-11T01:22:17.000,11.5377
2021-08-11T01:32:17.000,11.5377
2021-08-11T01:42:17.000,11.5419
2021-08-11T01:52:17.000,11.5362
2021-08-11T02:02:17.000,11.5334
2021-08-11T02:12:17.000,11.5320
2021-08-11T02:22:17.000,11.5306
2021-08-11T02:32:17.000,11.5292
2021-08-11T02:42:17.000,11.5250
2021-08-11T02:52:17.000,11.5236
2021-08-11T03:02:17.000,11.5151
2021-08-11T03:12:17.000,11.5067
2021-08-11T03:22:17.000,11.5095
2021-08-11T03:32:17.000,11.5024
2021-08-11T03:42:17.000,11.4883
2021-08-11T03:52:17.000,11.4644
2021-08-11T04:02:17.000,11.4446
2021-08-11T04:12:17.000,11.4334
2021-08-11T04:22:17.000,11.4221
2021-08-11T04:32:17.000,11.4390
2021-08-11T04:42:17.000,11.4446
2021-08-11T04:52:17.000,11.4517
2021-08-11T05:02:17.000,11.4531
2021-08-11T05:12:17.000,11.4573
2021-08-11T05:22:17.000,11.4587
2021-08-11T05:32:17.000,11.4630
2021-08-11T05:42:17.000,11.4559
2021-08-11T05:52:17.000,11.4460
2021-08-11T06:02:17.000,11.4404
2021-08-11T06:12:17.000,11.4446
2021-08-11T06:22:17.000,11.4475
2021-08-11T06:32:17.000,11.4503
2021-08-11T06:42:17.000,11.4531
2021-08-11T06:52:17.000,11.4587
2021-08-11T07:02:17.000,11.4616
2021-08-11T07:12:17.000,11.4616
2021-08-11T07:22:17.000,11.4686
2021-08-11T07:32:17.000,11.4672
2021-08-11T07:42:17.000,11.4672
2021-08-11T07:52:17.000,11.4573
2021-08-11T08:02:17.000,11.4545
2021-08-11T08:12:17.000,11.4460
2021-08-11T08:22:17.000,11.4178
2021-08-11T08:32:17.000,11.3967
2021-08-11T08:42:17.000,11.3910
2021-08-11T08:52:17.000,11.3925
2021-08-11T09:02:17.000,11.4009
2021-08-11T09:12:17.000,11.4051
2021-08-11T09:22:17.000,11.4150
2021-08-11T09:32:17.000,11.4305
2021-08-11T09:42:17.000,11.4362
2021-08-11T09:52:17.000,11.4305
2021-08-11T10:02:17.000,11.4193
2021-08-11T10:12:17.000,11.4051
2021-08-11T10:22:17.000,11.3896
2021-08-11T10:32:17.000,11.3868
2021-08-11T10:42:17.000,11.3854
2021-08-11T10:52:17.000,11.3868
2021-08-11T11:02:17.000,11.3910
2021-08-11T11:12:17.000,11.3967
2021-08-11T11:22:17.000,11.4094
2021-08-11T11:32:17.000,11.4178
2021-08-11T11:42:17.000,11.4277
2021-08-11T11:52:17.000,11.4390
2021-08-11T12:02:17.000,11.4404
2021-08-11T12:12:17.000,11.4432
2021-08-11T12:22:17.000,11.4446
2021-08-11T12:32:17.000,11.4432
2021-08-11T12:42:17.000,11.4390
2021-08-11T12:52:17.000,11.4404
2021-08-11T13:02:17.000,11.4376
2021-08-11T13:12:17.000,11.4362
2021-08-11T13:22:17.000,11.4348
2021-08-11T13:32:17.000,11.4263
2021-08-11T13:42:17.000,11.4207
2021-08-11T13:52:17.000,11.4150
2021-08-11T14:02:17.000,11.4178
2021-08-11T14:12:17.000,11.4207
2021-08-11T14:22:17.000,11.4221
2021-08-11T14:32:17.000,11.4277
2021-08-11T14:42:17.000,11.4334
2021-08-11T14:52:17.000,11.4362
2021-08-11T15:02:17.000,11.4418
2021-08-11T15:12:17.000,11.4460
2021-08-11T15:22:17.000,11.4545
2021-08-11T15:32:17.000,11.4616
2021-08-11T15:42:17.000,11.4799
2021-08-11T15:52:17.000,11.5109
2021-08-11T16:02:17.000,11.5151
2021-08-11T16:12:17.000,11.5179
2021-08-11T16:22:17.000,11.5095
2021-08-11T16:32:17.000,11.5193
2021-08-11T16:42:17.000,11.5278
2021-08-11T16:52:17.000,11.5306
2021-08-11T17:02:17.000,11.5250
2021-08-11T17:12:17.000,11.5222
2021-08-11T17:22:17.000,11.5320
2021-08-11T17:32:17.000,11.5405
2021-08-11T17:42:17.000,11.5320
2021-08-11T17:52:17.000,11.5207
2021-08-11T18:02:17.000,11.5151
2021-08-11T18:12:17.000,11.5165
2021-08-11T18:22:17.000,11.5348
2021-08-11T18:32:17.000,11.5461
2021-08-11T18:42:17.000,11.5532
2021-08-11T18:52:17.000,11.5503
2021-08-11T19:02:17.000,11.5461
2021-08-11T19:12:17.000,11.5433
2021-08-11T19:22:17.000,11.5419
2021-08-11T19:32:17.000,11.5405
2021-08-11T19:42:17.000,11.5419
2021-08-11T19:52:17.000,11.5433
2021-08-11T20:02:17.000,11.5362
2021-08-11T20:12:17.000,11.5278
2021-08-11T20:22:17.000,11.5207
2021-08-11T20:32:17.000,11.5165
2021-08-11T20:42:17.000,11.5123
2021-08-11T20:52:17.000,11.5024
2021-08-11T21:02:17.000,11.4926
2021-08-11T21:12:17.000,11.4756
2021-08-11T21:22:17.000,11.4756
2021-08-11T21:32:17.000,11.4517
2021-08-11T21:42:17.000,11.4559
2021-08-11T21:52:17.000,11.4601
2021-08-11T22:02:17.000,11.4658
2021-08-11T22:12:17.000,11.4672
2021-08-11T22:22:17.000,11.4742
2021-08-11T22:32:17.000,11.5024
2021-08-11T22:42:17.000,11.5222
2021-08-11T22:52:17.000,11.5292
2021-08-11T23:02:17.000,11.5362
2021-08-11T23:12:17.000,11.5433
2021-08-11T23:22:17.000,11.5447
2021-08-11T23:32:17.000,11.5038
2021-08-11T23:42:17.000,11.4700
2021-08-11T23:52:17.000,11.4559
2021-08-12T00:02:17.000,11.4503
2021-08-12T00:12:17.000,11.4714
2021-08-12T00:22:17.000,11.4912
2021-08-12T00:32:17.000,11.5137
2021-08-12T00:42:17.000,11.5151
2021-08-12T00:52:17.000,11.4841
2021-08-12T01:02:17.000,11.4136
2021-08-12T01:12:17.000,11.4051
2021-08-12T01:22:17.000,11.4207
2021-08-12T01:32:17.000,11.4432
2021-08-12T01:42:17.000,11.4587
2021-08-12T01:52:17.000,11.4954
2021-08-12T02:02:17.000,11.5165
2021-08-12T02:12:17.000,11.5292
2021-08-12T02:22:17.000,11.5334
2021-08-12T02:32:17.000,11.5362
2021-08-12T02:42:17.000,11.5348
2021-08-12T02:52:17.000,11.5320
2021-08-12T03:02:17.000,11.5250
2021-08-12T03:12:17.000,11.5236
2021-08-12T03:22:17.000,11.5165
2021-08-12T03:32:17.000,11.5024
2021-08-12T03:42:17.000,11.4968
2021-08-12T03:52:17.000,11.4968
2021-08-12T04:02:17.000,11.4954
2021-08-12T04:12:17.000,11.4912
2021-08-12T04:22:17.000,11.4799
2021-08-12T04:32:17.000,11.4756
2021-08-12T04:42:17.000,11.4700
2021-08-12T04:52:17.000,11.4714
2021-08-12T05:02:17.000,11.4700
2021-08-12T05:12:17.000,11.4728
2021-08-12T05:22:17.000,11.4742
2021-08-12T05:32:17.000,11.4771
2021-08-12T05:42:17.000,11.4728
2021-08-12T05:52:17.000,11.4714
2021-08-12T06:02:17.000,11.4700
2021-08-12T06:12:17.000,11.4672
2021-08-12T06:22:17.000,11.4714
2021-08-12T06:32:17.000,11.4813
2021-08-12T06:42:17.000,11.4869
